0051-8462-33,Androgel Pump 20.25 Mg/Act (1.62%) Td Gel,Androgel 20.25 Mg/1.25 Gram (1.62 %) Td Glpm,

0052-0105-30,Remeron 15 Mg Oral Tab,Remeron 15 Mg Tablet,

0052-0273-01,Nuvaring 0.12-0.015 Mg/24hr Vag Ring,Nuvaring 0.12-0.015 Mg/24 Hr Vagl Ring,Nuvaring 0.12-0.015 Mg/24hr Va Ring,Nuvaring 0.12 Mg -0.015 Mg/24 Hr Vaginal,

0052-0274-01,Nexplanon 68 Mg Sc Impl,Nexplanon 68 Mg Sdrm Implant,

0052-0301-51,Ganirelix Acetate 250 McG/0.5ml Sc Soln,Ganirelix 250 McG/0.5 Ml Subq Syringe,

0054-0018-20,Prednisone 20 Mg Po Tabs,Prednisone 20 Mg Or Tabs,

0054-0037-21,Clarithromycin 500 Mg Po Tabs,Clarithromycin 500 Mg Or Tabs,

0054-0046-41,Ipratropium Bromide 0.06 % Nasal Spray,Ipratropium Bromide 0.06 % Na Soln,Ipratropium Bromide 0.06 % Na Spry,

0054-0085-25,Zaleplon 10 Mg Oral Cap,Zaleplon 10 Mg Capsule,

0054-0086-25,Zolpidem Tartrate 5 Mg Po Tabs,Ambien Or,

0054-0086-29,Zolpidem 5 Mg Oral Tab,Zolpidem 5 Mg Po Tab,

0054-0087-25,Zolpidem Tartrate 10 Mg Po Tabs,Zolpidem Tartrate 10 Mg Or Tabs,Zolpidem 10 Mg Tablet,Zolpidem 10 Mg Oral Tab,

0054-0163-25,Mycophenolate Mofetil 250 Mg Po Caps,Mycophenolate Mofetil 250 Mg Capsule,

0054-0166-25,Mycophenolate Mofetil 500 Mg Or Tabs,Mycophenolate Mofetil 500 Mg Tablet,Mycophenolate Mofetil 500 Mg Po Tabs,

0054-0220-25,Quetiapine Fumarate 25 Mg Po Tabs,Seroquel Or,Quetiapine Fumarate 25 Mg Or Tabs,Seroquel Oral,

0054-0222-25,Quetiapine 200 Mg Tablet,Quetiapine Fumarate 200 Mg Po Tabs,

0054-0259-13,Montelukast Sodium 10 Mg Po Tabs,Singulair Po,Montelukast Sodium 10 Mg Or Tabs,Montelukast 10 Mg Tablet,

0054-0269-13,Letrozole 2.5 Mg Tablet,Letrozole 2.5 Mg Po Tabs,

0054-0279-03,Naratriptan 2.5 Mg Oral Tab,Naratriptan 2.5 Mg Tablet,

0054-2527-25,Lithium Carbonate 300 Mg Po Caps,Lithium Carbonate 300 Mg Oral Capsule,

0054-3270-99,Fluticasone Propionate 50 McG/Act Nasal Susp,Fluticasone 50 McG/Actuation Nasl Spsn,Fluticasone Propionate 50 McG/Act Na Susp,Fluticasone 50 McG/Actuation Nasal Spray,Suspension,Fluticasone Propionate 50 McG/Act Nas Susp,

0054-4084-25,Azathioprine 50 Mg Tablet,Azathioprine 50 Mg Po Tabs,

0054-4184-25,Dexamethasone 4 Mg Po Tab,Dexamethasone 4 Mg Tablet,Dexamethasone 4 Mg Po Tabs,Dexamethasone 4 Mg Oral Tab,

0054-4297-25,Furosemide 20 Mg Po Tabs,Furosemide 20 Mg Tablet,Furosemide 20 Mg Or Tabs,Furosemide 20 Mg Oral Tab,

0054-4299-25,Furosemide 40mg Tab (Lasix Equiv),Furosemide 40 Mg Tablet,Furosemide 40 Mg Po Tabs,

0054-4527-25,Lithium Carbonate 300 Mg Po Tabs,Lithium Carbonate 300 Mg Oral Tab,

0054-4570-25,Methadone 5 Mg Oral Tab,Methadone Hcl 5 Mg Po Tabs,

0054-4581-11,Mercaptopurine 50 Mg Oral Tab,Mercaptopurine 50 Mg Tablet,

0054-4728-25,Prednisone 5 Mg Oral Tab,Prednisone 5 Mg Tablet,Prednisone 5 Mg Po Tabs,

0065-0272-25,Pataday 0.2 % Eye Drops,Pataday 0.2 % Opth Soln,

0069-3060-30,Zithromax 250 Mg Tablet,Zithromax 250 Mg Po Tabs,

0069-3060-75,Zithromax Z-Pak 250 Mg Tablet,Zithromax Z-Pak 250 Mg Po Tabs,Zithromax Z-Pak 250 Mg Oral Tabs,

0069-5410-66,Vistaril 25 Mg Oral Caps,Vistaril 25 Mg Capsule,Vistaril 25 Mg Po Caps,Vistaril 25 Mg Or Caps,

0071-0156-23,Lipitor 20 Mg Tablet,Lipitor 20 Mg Oral Tab,Lipitor 20 Mg Po Tabs,

0071-0418-13,Nitrostat 0.4 Mg Sl Subl Tab,Nitrostat 0.4 Mg Sublingual Sl Tab,Nitrostat 0.4 Mg Sublingual Tablet,Nitrostat 0.4 Mg Sl Subl,

0071-1015-68,Lyrica 100 Mg Capsule,Lyrica 100 Mg Po Caps,

0074-3799-02,Humira 40 Mg/0.8ml Subcut Pskt,Humira 40 Mg/0.8 Ml Subcutaneous Syringe Kit,

0074-4552-11,Synthroid 50 McG Or Tabs,Synthroid 50 McG Po Tabs,Synthroid 50 McG Tablet,

0074-6624-11,Synthroid 100 McG Po Tabs,Synthroid 100 McG Tablet,

0074-7069-11,Synthroid 150 McG Po Tabs,Synthroid 150 McG Oral Tab,

0074-7070-19,Synthroid 175 McG Tablet,Synthroid 175 McG Po Tabs,

0078-0084-05,Fioricet 50-325-40 Mg Po Tabs,Fioricet 50-325-40 Mg Oral Tablet,

0085-1132-01,Proventil Hfa 108 (90 Base) McG/Act In Aers,Proventil Hfa 90 McG/Actuation Aerosol Inhaler,

0085-4610-01,Dulera 200-5 McG/Actuation Inhl Hfaa,Dulera 200 McG-5 McG/Actuation Hfa Aerosol Inhaler,

0085-7206-01,Dulera 100-5 McG/Actuation Inhl Hfaa,Dulera 100-5 McG/Act In Aero,

0087-6063-13,Glucophage Xr 500 Mg Po Tb24,Glucophage Xr 500 Mg Tablet,Extended Release,

0088-2219-05,Lantus Solostar 100 Unit/Ml Sc Sopn,Lantus Solostar 100 Unit/Ml (3 Ml) Subcutaneous Insulin Pen,Lantus Solostar 100 Unit/Ml (3 Ml) Subq Inpn,Lantus Solostar 100 Unit/Ml Subcut Sopn,

0088-2220-33,Lantus 100 Unit/Ml Subcutaneous Solution,Lantus 100 Unit/Ml Subq Soln,

0093-0011-98,Pantoprazole 20 Mg Oral Tbec Dr Tab,Pantoprazole 20 Mg Tablet,Delayed Release,Pantoprazole Sodium 20 Mg Oral Tbec,Pantoprazole 20 Mg Oral Tbec,Pantoprazole Sodium 20 Mg Po Tbec,

0093-0012-98,Pantoprazole 40 Mg Oral Tbec Dr Tab,Pantoprazole 40 Mg Tablet,Delayed Release,Pantoprazole Sodium 40 Mg Po Tbec,Pantoprazole Sodium 40 Mg Po Tab Dr,Pantoprazole Sodium 40 Mg Po Dr Tablet,

0093-0039-01,Lamotrigine 25 Mg Po Tabs,Lamotrigine 25 Mg Tab,Lamotrigine 25 Mg Oral Tab,Lamotrigine Po,Lamotrigine 25 Mg Tablet,

0093-0041-03,Clomiphene Citrate 50 Mg Tablet,Clomiphene Citrate 50 Mg Or Tabs,Clomiphene Citrate 50 Mg Po Tabs,

0093-0053-01,Buspirone 5 Mg Oral Tab,Buspirone Hcl 5 Mg Po Tabs,Buspirone 5 Mg Tablet,

0093-0054-01,Buspirone 10 Mg Tablet,Buspirone Hcl 10 Mg Or Tabs,Buspirone Hcl 10 Mg Po Tabs,

0093-0058-01,Tramadol 50 Mg Tablet,Tramadol Hcl 50 Mg Po Tabs,Tramadol 50 Mg Oral Tab,Tramadol Hcl 50 Mg Or Tabs,

0093-0147-01,Naproxen 250 Mg Oral Tabs,Naproxen 250 Mg Or Tabs,

0093-0149-01,Naproxen 500 Mg Or Tabs,Naproxen 500 Mg Po Tabs,Naproxen 500 Mg Tablet,Naproxen 500 Mg Tab,Naproxen 500 Mg Oral Tab,Naproxen 500 Mg Oral Tabs,

0093-0150-01,Acetaminophen 300 Mg-Codeine 30 Mg Tablet,Acetaminophen-Codeine #3 300-30 Mg Po Tabs,Acetaminophen-Codeine #3 300-30 Mg Oral Tabs,

0093-0155-06,Topiramate 25 Mg Oral Tab,Topiramate 25 Mg Po Tabs,Topiramate 25 Mg Tablet,

0093-0264-15,Fluocinonide 0.05 % Top Oint,Fluocinonide 0.05 % Ex Oint,

0093-0293-01,Carbidopa-Levodopa 25-100 Mg Or Tabs,Carbidopa-Levodopa 25-100 Mg Po Tabs,

0093-0311-01,Loperamide Hcl 2 Mg Po Caps,Loperamide 2 Mg Capsule,

0093-0314-01,Ketorolac 10 Mg Tablet,Ketorolac 10 Mg Tab,Ketorolac Tromethamine 10 Mg Po Tabs,

0093-0463-01,Lamotrigine 100 Mg Oral Tab,Lamotrigine 100 Mg Po Tabs,Lamotrigine 100 Mg Tablet,

0093-0537-01,Naproxen Sodium 550 Mg Tablet,Naproxen Sodium 550 Mg Po Tabs,

0093-0576-06,Lovastatin 20 Mg Oral Tab,Lovastatin 20 Mg Po Tabs,

0093-0657-01,Calcitriol 0.25 McG Po Caps,Calcitriol 0.25 McG Oral Cap,

0093-0670-05,Gemfibrozil 600 Mg Tablet,Gemfibrozil 600 Mg Oral Tab,

0093-0733-01,Metoprolol Tartrate 50 Mg Po Tabs,Metoprolol Tartrate 50 Mg Tablet,

0093-0734-01,Metoprolol Tartrate 100 Mg Po Tabs,Metoprolol Tartrate 100 Mg Oral Tab,

0093-0752-01,Atenolol 50 Mg Oral Tab,Atenolol 50 Mg Or Tabs,Atenolol 50 Mg Tablet,

0093-0753-01,Atenolol 100mg Tab (Tenormin Equiv),Atenolol 100 Mg Oral Tab,

0093-0771-98,Pravastatin 10 Mg Tablet,Pravastatin Sodium 10 Mg Or Tabs,

0093-0810-01,Nortriptyline Hcl 10 Mg Po Caps,Nortriptyline 10 Mg Capsule,

0093-0811-01,Nortriptyline Hcl 25 Mg Oral Caps,Nortriptyline 25 Mg Capsule,Nortriptyline 25 Mg Oral Cap,

0093-0832-01,Clonazepam 0.5 Mg Tablet,Clonazepam 0.5 Mg Po Tabs,Clonazepam 0.5 Mg Oral Tab,Clonazepam 0.5 Mg Oral Tabs,Clonazepam Po,Clonazepam 0.5 Mg Oral Tablet,

0093-0833-01,Clonazepam 1 Mg Tablet,Clonazepam 1 Mg Po Tabs,

0093-0840-15,Ketoconazole 2 % Ex Crea,Ketoconazole 2 % Top Crea,Ketoconazole 2 % Topical Cream,

0093-0900-01,Ketoconazole 200 Mg Tablet,Ketoconazole 200 Mg Po Tabs,

0093-1003-01,Buspirone Hcl 15 Mg Po Tabs,Buspirone Hcl 15 Mg Oral Tabs,

0093-1010-42,Mupirocin 2 % Topical Ointment,Mupirocin 2 % Top Oint,Mupirocin 2 % Ex Oint,

0093-1015-01,Nabumetone 500 Mg Po Tabs,Nabumetone 500 Mg Oral Tab,

0093-1048-01,Metformin Hcl 500 Mg Po Tabs,Metformin 500 Mg Tablet,Metformin Hcl 500 Mg Or Tabs,Metformin 500 Mg Oral Tablet,Metformin Hcl Or,

0093-1049-01,Metformin Hcl 850 Mg Po Tabs,Metformin 850 Mg Tablet,

0093-1174-01,Penicillin V Potassium 500 Mg Tablet,Penicillin V Potassium 500 Mg Po Tabs,

0093-2060-98,Fenofibrate 145 Mg Po Tabs,Fenofibrate 145 Mg Or Tabs,

0093-2085-17,Triamcinolone Acetonide 55 McG Nasal Spray Aerosol,Triamcinolone Acetonide 55 McG Na Spra,Triamcinolone Acetonide 55 McG/Act Na Aero,Triamcinolone Acetonide 55 McG Nasl Spra,

0093-2203-01,Metoclopramide 10 Mg Tablet,Metoclopramide Hcl 10 Mg Oral Tab,Metoclopramide Hcl 10 Mg Po Tabs,

0093-2204-01,Metoclopramide 5 Mg Tablet,Metoclopramide Hcl 5 Mg Oral Tab,Metoclopramide Hcl 5 Mg Po Tabs,

0093-2210-01,Sucralfate 1 Gram Tablet,Sucralfate 1 G Po Tabs,

0093-2263-01,Amoxicillin 500 Mg Tablet,Amoxicillin 500 Mg Po Tabs,

0093-2264-01,Amoxicillin 875 Mg Po Tabs,Amoxicillin 875 Mg Oral Tab,Amoxicillin 875 Mg Tablet,

0093-2275-34,Amoxicillin 875 Mg-Potassium Clavulanate 125 Mg Tablet,Amoxicillin-Pot Clavulanate 875-125 Mg Po Tabs,Amoxicillin-Pot Clavulanate 875-125 Mg Oral Tab,Amoxicillin-Pot Clavulanate 875-125 Mg Or Tabs,Amoxicillin-Pot Clavulanate 875-125 Mg Oral Tabs,Amoxicillin-Pot Clavulanate 875-125 Mg Po Tab,Amoxicillin 875 Mg-Clavulanate 125mg Tablet,

0093-3109-05,Amoxicillin 500 Mg Capsule,Amoxicillin 500 Mg Po Caps,Amoxicillin 500 Mg Oral Cap,Amoxicillin 500 Mg Or Caps,

0093-3147-01,Cephalexin 500 Mg Capsule,Cephalexin 500 Mg Po Caps,Cephalexin 500 Mg Or Caps,

0093-3160-06,Cefdinir 300 Mg Capsule,Cefdinir 300 Mg Po Caps,

0093-3167-53,Minocycline Hcl 100 Mg Po Caps,Minocycline 100 Mg Capsule,

0093-4177-73,Cephalexin 250 Mg/5ml Po Susr,Cephalexin 250 Mg/5 Ml Oral Susr,

0093-5171-44,Alendronate 70 Mg Tablet,Alendronate 70 Mg Oral Tab,Alendronate Sodium 70 Mg Po Tabs,

0093-5354-01,Progesterone Micronized 200 Mg Oral Cap,Progesterone Micronized 200 Mg Po Caps,Progesterone Micronized 200 Mg Or Caps,Progesterone Micronized 200 Mg Capsule,

0093-6450-56,Esomeprazole Magnesium 20 Mg Po Cap Dr,Esomeprazole Magnesium 20 Mg Oral Cpdr,

0093-6451-56,Esomeprazole Magnesium 40 Mg Po Cpdr,Esomeprazole Magnesium 40 Mg Capsule,Delayed Release,Esomeprazole Magnesium 40 Mg Po Cap Dr,

0093-6815-73,Budesonide 0.25 Mg/2 Ml Suspension For Nebulization,Budesonide Inhl,

0093-6816-73,Budesonide 0.5 Mg/2 Ml Inhl Nbsp,Budesonide 0.5 Mg/2 Ml Suspension For Nebulization,

0093-7146-09,Azithromycin 250 Mg Oral Tab,Azithromycin 250 Mg Tablet,Azithromycin 250 Mg Po Tabs,Azithromycin 250 Mg Tab,Azithromycin 250 Mg Oral Tabs,

0093-7146-18,Azithromycin 250mg Tab (Zithromax Equiv),Azithromycin 250 Mg Po Tabs,

0093-7153-10,Simvastatin 10 Mg Po Tabs *Sh*,Simvastatin 10 Mg Po Tabs,

0093-7154-10,Simvastatin 20 Mg Po Tabs,Simvastatin 20 Mg Oral Tab,Simvastatin 20 Mg Tablet,

0093-7155-10,Simvastatin 40 Mg Tablet,Simvastatin 40 Mg Or Tabs,Simvastatin 40 Mg Po Tabs,Simvastatin 40 Mg Oral Tab,

0093-7169-56,Azithromycin 500 Mg Po Tabs,Azithromycin 500 Mg Oral Tabs,Azithromycin 500 Mg Tablet,

0093-7198-56,Fluoxetine 40 Mg Oral Cap,Fluoxetine 40 Mg Capsule,Fluoxetine Hcl 40 Mg Po Caps,

0093-7202-10,Pravastatin Sodium 40 Mg Po Tabs,Pravastatin 40 Mg Tablet,

0093-7206-56,Mirtazapine 15 Mg Oral Tab,Mirtazapine 15 Mg Tablet,

0093-7212-01,Metformin Hcl Er 750 Mg Po Tab Sr24,Metformin Er 750 Mg Tablet,Extended Release 24 Hr,Metformin Hcl Er 750 Mg Or Tb24,

0093-7214-01,Metformin 1000 Mg Oral Tab,Metformin Hcl 1000 Mg Po Tabs,Metformin 1,000 Mg Tablet,

0093-7234-01,Meloxicam 7.5 Mg Po Tabs,Meloxicam 7.5 Mg Or Tabs,

0093-7247-06,Lamotrigine 150 Mg Oral Tab,Lamotrigine 150 Mg Tablet,

0093-7248-06,Lamotrigine 200 Mg Po Tabs,Lamotrigine 200 Mg Or Tabs,Lamotrigine 200 Mg Oral Tablet,

0093-7256-01,Glimepiride 4 Mg Oral Tab,Glimepiride 4 Mg Tablet,Glimepiride 4 Mg Po Tabs,

0093-7292-53,Levofloxacin 500 Mg Tablet,Levofloxacin 500 Mg Po Tabs,

0093-7293-53,Levofloxacin 750 Mg Or Tabs,Levofloxacin 750 Mg Tablet,

0093-7295-01,Carvedilol 12.5 Mg Po Tabs,Carvedilol 12.5 Mg Tablet,

0093-7296-01,Carvedilol 25 Mg Tablet,Carvedilol 25 Mg Po Tabs,

0093-7350-56,Lansoprazole 15 Mg Capsule,Delayed Release,Lansoprazole 15 Mg Po Cpdr,Lansoprazole 15 Mg Oral Cpdr,Lansoprazole Po,

0093-7351-56,Lansoprazole 30 Mg Capsule,Delayed Release,Lansoprazole 30 Mg Po Cpdr,Lansoprazole 30 Mg Oral Cpdr,

0093-7355-56,Finasteride 5 Mg Tablet,Finasteride 5 Mg Oral Tab,Finasteride 5 Mg Po Tabs,

0093-7364-10,Losartan Potassium 25 Mg Po Tabs,Losartan 25 Mg Tablet,Losartan Potassium 25 Mg Or Tabs,Losartan Potassium Po,

0093-7365-10,Losartan 50 Mg Tablet,Losartan Potassium 50 Mg Po Tabs,Losartan 50 Mg Oral Tab,Losartan Potassium 50 Mg Or Tabs,

0093-7366-10,Losartan Potassium 100 Mg Oral Tabs,Losartan 100 Mg Tablet,Losartan 100 Mg Oral Tab,Losartan Potassium 100 Mg Po Tabs,

0093-7367-10,Losartan 50 Mg-Hydrochlorothiazide 12.5 Mg Tablet,Losartan-Hydrochlorothiazide 50-12.5 Mg Oral Tab,

0093-7382-01,Venlafaxine Hcl 75 Mg Po Tabs,Venlafaxine 75 Mg Po Tab,Venlafaxine 75 Mg Oral Tab,

0093-7384-56,Venlafaxine 37.5 Mg Oral 24hr Sr Cap,Venlafaxine Er 37.5 Mg Capsule,Extended Release 24 Hr,

0093-7385-56,Venlafaxine Er 75 Mg Capsule,Extended Release 24 Hr,Venlafaxine Hcl Er 75 Mg Po Cp24,Venlafaxine 75 Mg Oral 24hr Sr Cap,Venlafaxine 75 Mg Oral Cp24,Venlafaxine Hcl Er 75 Mg Or Cp24,

0093-7386-56,Venlafaxine 150 Mg Oral 24hr Sr Cap,Venlafaxine Hcl Er 150 Mg Po Cp24,Venlafaxine Hcl Er 150 Mg Po Cap-Sr-24hr,Venlafaxine Er 150 Mg Capsule,Extended Release 24 Hr,Venlafaxine Hcl 150 Mg Po Cp24 *Sh*,Venlafaxine Hcl 150 Mg Or Cp24,Venlafaxine Hcl Er 150 Mg Oral Capsule 24 H,

0093-7426-98,Montelukast Sodium 10 Mg Po Tabs,Montelukast 10 Mg Oral Tablet,Montelukast 10 Mg Tab,

0093-7465-05,Irbesartan 150 Mg Tablet,Irbesartan 150 Mg Po Tabs,

0093-7474-89,Capecitabine 500 Mg Po Tabs,Capecitabine 500 Mg Oral Tab,

0093-7540-06,Topiramate 50 Mg Po Tabs,Topiramate 50 Mg Oral Tab,Topiramate 50 Mg Tablet,

0093-7542-06,Duloxetine Hcl 20 Mg Po Cpep,Cymbalta Po,

0093-7543-56,Duloxetine Hcl 30 Mg Po Cpep,Duloxetine Hcl 30 Mg Or Cpep,

0093-7544-56,Duloxetine Hcl 60 Mg Po Cpep,Duloxetine Hcl 60 Mg Po Cap Dr,

0093-7569-56,Aripiprazole 5 Mg Po Tabs,Aripiprazole 5 Mg Oral Tabs,

0093-8343-01,Glyburide 2.5 Mg Or Tabs,Glyburide 2.5 Mg Oral Tab,Glyburide 2.5 Mg Po Tab,Glyburide 2.5 Mg Po Tabs,

0093-8344-01,Glyburide 5 Mg Oral Tab,Glyburide 5 Mg Po Tabs,

0093-8940-01,Acyclovir 200 Mg Oral Cap,Acyclovir 200 Mg Capsule,

0093-8943-01,Acyclovir 400 Mg Po Tab,Acyclovir 400 Mg Po Tabs,Acyclovir 400 Mg Tablet,Acyclovir 400 Mg Oral Tab,

0093-8947-01,Acyclovir 800 Mg Po Tabs,Acyclovir 800 Mg Tablet,Acyclovir 800 Mg Or Tabs,

0093-9133-06,Amiodarone 200 Mg Tablet,Amiodarone Hcl 200 Mg Po Tabs,

0093-9652-01,Prochlorperazine Maleate 10 Mg Oral Tab,Prochlorperazine Maleate 10 Mg Po Tabs,Prochlorperazine Maleate 10 Mg Or Tabs,Prochlorperazine Maleate 10 Mg Tablet,

0096-0707-35,Drysol Dab-O-Matic 20 % Top Soln,Drysol 20 % Ex Soln,

0113-0274-68,Aspirin 81 Mg Chewable Tablet,Aspirin 81 Mg Oral Chew Tab,Baby Aspirin Oral,Aspirin 81 Mg Po Chew,

0113-0604-62,Ibuprofen 200 Mg Po Tab,Ibuprofen 200 Mg Po Tabs,Ibuprofen 200 Mg Tablet,Ibuprofen 200 Mg Or Tabs,Ibuprofen 200 Mg Tab,

0115-8211-01,Tamsulosin Er 0.4 Mg Capsule,Extended Release 24 Hr,Tamsulosin Hcl 0.4 Mg Po Caps,Tamsulosin 0.4 Mg Oral 24hr Sr Cap,Tamsulosin 0.4 Mg Po Cp24,Tamsulosin Hcl 0.4 Mg Or Caps,Tamsulosin 0.4 Mg Capsule,

01200010100110,Amoxicillin 500 Mg Po Caps,Amoxicillin 500 Mg Or Caps,

0121-0638-05,Dextromethorphan-Guaifenesin 10-100 Mg/5 Ml Oral Syrp,Dextromethorphan-Guaifenesin 10-100 Mg/5 Ml Oral Syrup,Dextromethorphan-Guaifenesin 10 Mg-100 Mg/5 Ml Syrup,

0121-0747-10,Sucralfate 100 Mg/Ml Oral Suspension,Sucralfate 1 Gm/10ml Suspension (Oral),

0121-1744-05,Guaifenesin 100 Mg/5 Ml Oral Liquid,Guaifenesin 100 Mg/5ml Po Soln,

0135-0070-03,Tums 500 Mg Oral Chew,Tums 500 Mg Po Chew,

0140-0005-01,Valium 5 Mg Tablet,Valium 5 Mg Po Tabs,

0143-1263-01,Lisinopril 20 Mg-Hydrochlorothiazide 12.5 Mg Tablet,Lisinopril-Hydrochlorothiazide 20-12.5 Mg Oral Tab,Lisinopril-Hydrochlorothiazide 20-12.5 Mg Or Tabs,

0143-1264-01,Lisinopril 20 Mg-Hydrochlorothiazide 25 Mg Tablet,Lisinopril-Hydrochlorothiazide 20-25 Mg Or Tabs,Lisinopril-Hydrochlorothiazide 20-25 Mg Oral Tab,Lisinopril-Hydrochlorothiazide 20-25 Mg Po Tabs,

0143-1265-01,Lisinopril 2.5 Mg Tablet,Lisinopril 2.5 Mg Oral Tab,

0143-1267-01,Lisinopril 10 Mg Tablet,Lisinopril 10 Mg Po Tabs,Lisinopril 10 Mg Or Tabs,

0143-1270-01,Lisinopril 40 Mg Tablet,Lisinopril 40 Mg Po Tabs,Lisinopril 40 Mg Oral Tab,

0143-1290-01,Methocarbamol 500 Mg Po Tab,Methocarbamol 500 Mg Po Tabs,Methocarbamol 500 Mg Oral Tabs,Methocarbamol 500 Mg Tablet,

0143-1292-01,Methocarbamol 750 Mg Po Tabs,Methocarbamol 750 Mg Or Tabs,

0143-1473-01,Prednisone 10 Mg Tablet,Prednisone 10 Mg Or Tabs,Prednisone 10 Mg Po Tabs,Prednisone 10 Mg Oral Tab,

0143-1787-01,Butalbital-Acetaminophen-Caffeine 50 Mg-325 Mg-40 Mg Tablet,Butalbital-Apap-Caffeine 50-325-40 Mg Or Tabs,

0143-2112-05,Doxycycline Hyclate 100 Mg Tablet,Doxycycline Hyclate 100 Mg Po Tabs,Doxycycline Hyclate 100 Mg Or Tabs,

0143-3142-05,Doxycycline Hyclate 100 Mg Po Caps,Doxycycline Hyclate 100 Mg Capsule,

0168-0003-15,Triamcinolone Acetonide 0.025 % Topical Cream,Triamcinolone Acetonide 0.025 % Ex Crea,

0168-0004-15,Triamcinolone Acetonide 0.1 % Ex Crea,Triamcinolone Acetonide 0.1 % Topical Cream,

0168-0006-15,Triamcinolone Acetonide 0.1 % Topical Ointment,Triamcinolone Acetonide 0.1 % Ex Oint,

0168-0059-60,Fluocinolone Acetonide 0.01 % Ex Soln,Fluocinolone 0.01 % Top Soln,

0168-0080-16,Hydrocortisone 2.5 % External Crea,Hydrocortisone 2.5 % Topical Cream,Hydrocortisone 2.5 % Ex Crea,

0168-0134-60,Fluocinonide 0.05 % Topical Solution,Fluocinonide 0.05 % Ex Soln,

0168-0162-15,Clobetasol Propionate 0.05 % Ex Oint,Clobetasol 0.05 % Topical Ointment,

0168-0163-15,Clobetasol Propionate 0.05 % Ex Crea,Clobetasol Propionate 0.05 % External Crea,Clobetasol 0.05 % Topical Cream,Clobetasol Propionate 0.05 % Ext Crea,

0168-0201-60,Clindamycin Phosphate 1 % Top Soln,Clindamycin 1 % Topical Solution,Clindamycin Phosphate 1 % Ex Soln,

0168-0202-30,Clindamycin 1 % Topical Gel,Clindamycin Phosphate 1 % Ex Gel,

